Date,Open,High,Low,Close,Adj Close,Volume
2014-05-30,58.047653,58.222321,57.889622,57.972797,32.494484,3592922
2014-06-02,58.222321,58.496799,57.207588,57.656734,32.317326,2759788
2014-06-03,57.864670,58.047653,57.398891,57.956161,32.485165,2880702
2014-06-04,57.947845,57.947845,57.024605,57.648418,32.312664,3117640
2014-06-05,57.731590,58.713055,57.448795,58.480164,32.778873,5463058
2014-06-06,58.480164,58.846134,58.097561,58.421944,32.746235,3453495
2014-06-09,58.663147,58.713055,57.823082,58.297180,32.676304,1844545
2014-06-10,58.455212,58.629879,57.972797,58.288860,32.671646,2787457
2014-06-11,58.347084,58.455212,57.573559,57.939529,32.475838,2822267
2014-06-12,58.072609,58.180737,57.548607,57.798130,32.396587,2456871
2014-06-13,57.706638,57.706638,56.409115,57.490383,32.224087,4359747
2014-06-16,57.365623,57.798130,57.174320,57.432163,32.191452,2483025
2014-06-17,57.806450,58.496799,57.415527,57.931210,32.471172,3331620
2014-06-18,58.222321,58.305496,57.864670,57.906258,32.457188,3071618
2014-06-19,58.530067,58.721371,58.222321,58.305496,32.680965,3909778
2014-06-20,58.305496,58.887718,58.147465,58.288860,32.671646,8815292
2014-06-23,58.538387,58.538387,57.656734,57.773178,32.382595,2445721
2014-06-24,57.498703,57.606831,57.132732,57.423843,32.186787,2809594
2014-06-25,57.141052,57.673370,56.924797,57.149368,32.032944,2998377
2014-06-26,57.382256,57.490383,56.109684,56.675274,31.767208,3232790
2014-06-27,56.675274,57.057877,56.425747,56.833305,31.855783,2079781
2014-06-30,56.858257,57.199272,56.434067,56.891525,31.888416,2842321
2014-07-01,57.041241,57.548607,56.858257,57.548607,32.256718,2754672
2014-07-02,57.831402,58.305496,57.756542,57.989433,32.503815,3148764
2014-07-03,58.164101,58.704735,57.939529,58.588291,32.839474,3274265
2014-07-04,58.463528,58.663147,58.189053,58.588291,32.839474,2038032
2014-07-07,58.438576,58.762959,57.515339,57.623463,32.298683,2612724
2014-07-08,57.640099,57.864670,56.608730,56.683590,31.771866,3545168
2014-07-09,56.800034,57.041241,56.367523,56.691906,31.776529,3076291
2014-07-10,56.791718,56.824986,55.452602,55.768665,31.259045,3755583
2014-07-11,55.968288,56.134636,55.228031,55.460922,31.086544,3526642
2014-07-14,55.768665,56.334255,55.585682,56.234447,31.520121,2858777
2014-07-15,56.267715,56.650318,55.627270,55.959969,31.366270,2662589
2014-07-16,56.159588,56.417431,55.776985,56.367523,31.594707,3454410
2014-07-17,56.350891,56.350891,55.211395,55.361111,31.030600,3100049
2014-07-18,54.562634,54.562634,53.863968,54.396282,30.489799,8333212
2014-07-21,54.521046,54.554317,53.381554,53.930504,30.228731,3371370
2014-07-22,54.396282,55.053364,54.180031,54.970188,30.811487,4394740
2014-07-23,56.068096,56.392479,54.155079,54.545998,30.573721,5857561
2014-07-24,54.695713,55.352795,54.063583,55.144855,30.909386,3564472
2014-07-25,55.236347,55.236347,53.905552,54.188347,30.373257,3708145
2014-07-28,54.254887,54.329742,52.108978,52.466629,29.408207,7564232
2014-07-29,52.574757,53.389870,51.743008,53.140347,29.785839,5131563
2014-07-30,53.140347,53.431458,52.291962,52.458313,29.403551,3203136
2014-07-31,52.566441,52.566441,51.210690,51.468533,28.848763,6111786
2014-08-01,51.160786,51.335453,49.854942,50.611832,28.368567,7902296
2014-08-04,50.545292,51.401993,50.470436,50.877991,28.517754,4933424
2014-08-05,51.202374,51.327137,49.913166,50.262501,28.172764,4034843
2014-08-06,49.671959,49.896530,48.707130,49.755135,27.888380,5660386
2014-08-07,49.696911,50.353992,48.865162,49.031513,27.482784,4468900
2014-08-08,48.033417,49.547195,47.492779,49.297672,27.631971,5849414
2014-08-11,50.071198,50.778183,49.954754,50.495388,28.303303,4535238
2014-08-12,50.570248,50.703323,49.630371,49.780087,27.902370,3328962
2014-08-13,50.329041,50.719959,49.921482,50.453800,28.279993,3203427
2014-08-14,50.204277,51.277229,49.996342,50.794819,28.471136,3078554
2014-08-15,50.986118,51.285549,49.339260,49.663643,27.837099,5508748
2014-08-18,50.445484,50.886311,50.345673,50.728279,28.433842,3185262
2014-08-19,51.127518,51.560024,50.886311,51.235645,28.718229,2630168
2014-08-20,51.202374,51.202374,50.412212,51.011070,28.592350,2593483
2014-08-21,51.135834,51.934311,50.936214,51.734692,28.997948,2722553
2014-08-22,51.634884,51.867771,50.919579,51.277229,28.741537,3433239
2014-08-25,52.150566,52.358501,51.809547,52.300282,29.314966,2781804
2014-08-26,52.217106,52.899139,52.050755,52.807648,29.599356,2933237
2014-08-27,52.815964,52.915771,52.050755,52.524853,29.440845,2952249
2014-08-28,52.325233,52.400089,50.969482,51.701424,28.979305,3932200
2014-08-29,51.751328,52.217106,51.094246,51.767963,29.016600,3480813
2014-09-01,51.734692,51.859455,50.944530,51.468533,28.848763,1807685
2014-09-02,51.817867,52.158882,51.302181,51.418629,28.820789,2333815
2014-09-03,51.651516,52.766060,51.451897,52.316914,29.324293,4604476
2014-09-04,52.316914,53.622761,51.634884,53.348282,29.902390,6264843
2014-09-05,53.897236,54.687397,53.572853,54.204983,30.382580,5302167
2014-09-08,54.437870,54.554317,53.730885,54.013680,30.275351,2469223
2014-09-09,54.021999,54.313110,53.339966,53.614441,30.051569,2747890
2014-09-10,52.990631,53.181934,52.516537,52.973995,29.692591,4662078
2014-09-11,53.231838,53.290058,52.042439,52.574757,29.468815,4283161
2014-09-12,52.641296,52.649612,51.867771,52.358501,29.347605,2636767
2014-09-15,52.150566,52.799328,52.042439,52.449993,29.398888,2531546
2014-09-16,52.449993,52.516537,51.901043,52.416725,29.380238,2515143
2014-09-17,52.874187,52.940727,52.483265,52.574757,29.468815,2927380
2014-09-18,52.632980,53.190250,52.316914,53.123711,29.776508,3497996
2014-09-19,53.231838,53.972092,52.915771,53.023903,29.720566,8065944
2014-09-22,52.599709,52.732788,51.892723,52.175518,29.245035,3165367
2014-09-23,52.150566,52.150566,50.578564,50.861359,28.508430,6011022
2014-09-24,50.961166,51.277229,50.204277,51.177422,28.685595,3911121
2014-09-25,51.202374,52.067390,50.345673,50.586880,28.354586,4526948
2014-09-26,50.512024,51.102566,50.029610,50.761547,28.452486,3851029
2014-09-29,50.628468,51.060978,50.037926,50.353992,28.224049,3217881
2014-09-30,49.904846,50.670055,49.355892,50.512024,28.312626,5894644
2014-10-01,50.229229,50.944530,49.755135,50.112785,28.088848,4074768
2014-10-02,50.079514,50.902946,49.189545,49.247768,27.603998,6101256
